Adjusted Grade,New?,Other Location Code in LCGMS,School Name,SED Code,Location Code,District,Latitude,Longitude,Address (Full),City,Zip,Grades,Grade Low,Grade High,Community School?,Economic Need Index,School Income Estimate,Percent ELL,Percent Asian,Percent Black,Percent Hispanic,Percent Black / Hispanic,Percent White,Student Attendance Rate,Percent of Students Chronically Absent,Rigorous Instruction %,Rigorous Instruction Rating,Collaborative Teachers %,Collaborative Teachers Rating,Supportive Environment %,Supportive Environment Rating,Effective School Leadership %,Effective School Leadership Rating,Strong Family-Community Ties %,Strong Family-Community Ties Rating,Trust %,Trust Rating,Student Achievement Rating,Average ELA Proficiency,Average Math Proficiency
,,,P.S. 015 ROBERTO CLEMENTE,3.10E+11,01M015,1,40.721834,-73.978766,"333 E 4TH ST NEW YORK, NY 10009",NEW YORK,10009,"PK,0K,01,02,03,04,05",PK,5,Yes,0.92,31141.72,0.09,0.05,0.32,0.6,0.92,0.01,0.94,0.18,0.89,Meeting Target,0.94,Meeting Target,0.86,Exceeding Target,0.91,Exceeding Target,0.85,Meeting Target,0.94,Exceeding Target,Approaching Target,2.14,2.17
,,,P.S. 019 ASHER LEVY,3.10E+11,01M019,1,40.729892,-73.984231,"185 1ST AVE NEW YORK, NY 10003",NEW YORK,10003,"PK,0K,01,02,03,04,05",PK,5,No,0.64,56462.88,0.05,0.1,0.2,0.63,0.83,0.06,0.92,0.3,0.96,N/A,0.96,N/A,0.97,N/A,0.9,Exceeding Target,0.86,Meeting Target,0.94,Meeting Target,Exceeding Target,2.63,2.98
,,,P.S. 020 ANNA SILVER,3.10E+11,01M020,1,40.721274,-73.986315,"166 ESSEX ST NEW YORK, NY 10002",NEW YORK,10002,"PK,0K,01,02,03,04,05",PK,5,No,0.74,44342.61,0.15,0.35,0.08,0.49,0.57,0.04,0.94,0.2,0.87,Meeting Target,0.77,Meeting Target,0.82,Approaching Target,0.61,Not Meeting Target,0.8,Approaching Target,0.79,Not Meeting Target,Approaching Target,2.39,2.54
,,,P.S. 034 FRANKLIN D. ROOSEVELT,3.10E+11,01M034,1,40.726147,-73.975043,"730 E 12TH ST NEW YORK, NY 10009",NEW YORK,10009,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.86,31454,0.07,0.05,0.29,0.63,0.92,0.04,0.92,0.28,0.85,Approaching Target,0.78,Meeting Target,0.82,Meeting Target,0.73,Approaching Target,0.89,Meeting Target,0.88,Meeting Target,Exceeding Target,2.48,2.47
,,,THE STAR ACADEMY - P.S.63,3.10E+11,01M063,1,40.724404,-73.98636,"121 E 3RD ST NEW YORK, NY 10009",NEW YORK,10009,"PK,0K,01,02,03,04,05",PK,5,No,0.73,46435.59,0.03,0.04,0.2,0.65,0.84,0.1,0.93,0.23,0.9,Meeting Target,0.88,Meeting Target,0.87,Meeting Target,0.81,Meeting Target,0.89,Meeting Target,0.93,Meeting Target,Meeting Target,2.38,2.54
,,,P.S. 064 ROBERT SIMON,3.10E+11,01M064,1,40.723747,-73.981602,"600 E 6TH ST NEW YORK, NY 10009",NEW YORK,10009,"PK,0K,01,02,03,04,05",PK,5,No,0.86,39415.45,0.06,0.07,0.19,0.66,0.84,0.07,0.92,0.33,0.93,Meeting Target,0.99,Exceeding Target,0.95,Exceeding Target,0.91,Exceeding Target,0.88,Meeting Target,0.97,Exceeding Target,Meeting Target,2.29,2.48
,,,P.S. 110 FLORENCE NIGHTINGALE,3.10E+11,01M110,1,40.715293,-73.979927,"285 DELANCEY ST NEW YORK, NY 10002",NEW YORK,10002,"PK,0K,01,02,03,04,05",PK,5,No,0.5,43706.73,0.01,0.16,0.1,0.43,0.53,0.27,0.95,0.13,0.88,Exceeding Target,0.78,Meeting Target,0.95,Exceeding Target,0.69,Approaching Target,0.87,Meeting Target,0.78,Not Meeting Target,Exceeding Target,2.8,3.2
,,,P.S. 134 HENRIETTA SZOLD,3.10E+11,01M134,1,40.714301,-73.982966,"293 E BROADWAY NEW YORK, NY 10002",NEW YORK,10002,"PK,0K,01,02,03,04,05",PK,5,No,0.83,28820.67,0.12,0.21,0.2,0.55,0.75,0.03,0.91,0.36,0.87,Approaching Target,0.89,Meeting Target,0.88,Approaching Target,0.88,Meeting Target,0.79,Approaching Target,0.94,Exceeding Target,Meeting Target,2.28,2.73
,,,P.S. 140 NATHAN STRAUS,3.10E+11,01M140,1,40.719128,-73.983283,"123 RIDGE ST NEW YORK, NY 10002",NEW YORK,10002,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.85,34889.24,0.14,0.05,0.13,0.78,0.9,0.03,0.93,0.27,0.94,Meeting Target,0.91,Approaching Target,0.85,Meeting Target,0.87,Meeting Target,0.83,Meeting Target,0.93,Meeting Target,Meeting Target,2.21,2.27
,,,P.S. 142 AMALIA CASTRO,3.10E+11,01M142,1,40.71823,-73.984082,"100 ATTORNEY ST NEW YORK, NY 10002",NEW YORK,10002,"PK,0K,01,02,03,04,05",PK,5,No,0.86,35545.1,0.08,0.06,0.11,0.78,0.9,0.02,0.92,0.27,0.92,Meeting Target,0.89,Meeting Target,0.9,Meeting Target,0.83,Meeting Target,0.89,Meeting Target,0.95,Exceeding Target,Meeting Target,2.16,2.31
,,,P.S. 184M SHUANG WEN,3.10E+11,01M184,1,40.711437,-73.985486,"327 CHERRY ST-2ND FL NEW YORK, NY 10002",NEW YORK,10002,"PK,0K,01,02,03,04,05,06,07,08",PK,8,No,0.56,40809.9,0.17,0.71,0.04,0.12,0.15,0.09,0.98,0.02,0.9,N/A,0.81,N/A,0.91,N/A,0.67,Not Meeting Target,0.83,Approaching Target,0.85,Approaching Target,Exceeding Target,3.24,3.63
,,,P.S. 188 THE ISLAND SCHOOL,3.10E+11,01M188,1,40.71987,-73.977376,"442 E HOUSTON ST NEW YORK, NY 10002",NEW YORK,10002,"PK,0K,01,02,03,04,05,06,07,08",PK,8,Yes,0.92,27881.59,0.16,0.02,0.3,0.64,0.93,0.04,0.91,0.37,1,Meeting Target,1,Exceeding Target,0.99,Meeting Target,0.99,Exceeding Target,0.92,Exceeding Target,0.99,Exceeding Target,Meeting Target,2.17,2.32
,,,ORCHARD COLLEGIATE ACADEMY,3.10E+11,01M292,1,40.713343,-73.986069,"220 HENRY ST NEW YORK, NY 10002",NEW YORK,10002,"06,07,08,09,10,11,12",6,12,Yes,0.83,N/A,0.14,0.12,0.26,0.57,0.84,0.03,0.84,0.58,0.72,Not Meeting Target,0.77,Approaching Target,0.77,Approaching Target,0.72,Approaching Target,0.76,Approaching Target,0.87,Meeting Target,Approaching Target,1.96,1.83
,,,"TECHNOLOGY, ARTS, AND SCIENCES STUDIO",3.10E+11,01M301,1,40.729892,-73.984231,"185 1ST AVE NEW YORK, NY 10003",NEW YORK,10003,"06,07,08",6,8,No,0.79,N/A,0.06,0.08,0.29,0.55,0.84,0.04,0.9,0.35,0.84,Approaching Target,0.78,Approaching Target,0.81,Approaching Target,0.8,Approaching Target,0.74,Approaching Target,0.87,Approaching Target,Meeting Target,2.29,2
,,,THE EAST VILLAGE COMMUNITY SCHOOL,3.10E+11,01M315,1,40.727726,-73.978382,"610 E 12TH ST NEW YORK, NY 10009",NEW YORK,10009,"PK,0K,01,02,03,04,05",PK,5,No,0.36,63760,0.01,0.09,0.09,0.21,0.29,0.55,0.95,0.11,0.9,Meeting Target,0.93,Exceeding Target,0.94,Meeting Target,0.93,Exceeding Target,0.97,Exceeding Target,0.96,Exceeding Target,Meeting Target,2.86,3.2
