Project ID,Project Name,Number,Street,Borough,Council District,Latitude (Internal),Longitude (Internal),Extended Affordability Only,Prevailing Wage Status,Extremely Low Income Units,Very Low Income Units,All Counted Units,Total Units
66986,CONFIDENTIAL,----,----,Brooklyn,48,,,No,Non Prevailing Wage,0,0,1,1
66983,CONFIDENTIAL,----,----,Queens,27,,,No,Non Prevailing Wage,0,0,1,1
66987,CONFIDENTIAL,----,----,Bronx,12,,,No,Non Prevailing Wage,0,0,1,1
66981,CONFIDENTIAL,----,----,Staten Island,49,,,No,Non Prevailing Wage,0,0,1,1
66979,CONFIDENTIAL,----,----,Bronx,16,,,No,Non Prevailing Wage,0,0,1,1
66268,1134 FULTON STREET,1134,FULTON STREET,Brooklyn,36,40.68071108,-73.95519558,No,Non Prevailing Wage,0,0,37,182
66977,CONFIDENTIAL,----,----,Staten Island,49,,,No,Non Prevailing Wage,0,0,1,1
66974,CONFIDENTIAL,----,----,Bronx,14,,,No,Non Prevailing Wage,0,1,1,1
65774,260 KENT AVENUE,260,KENT AVENUE,Brooklyn,33,,,No,Non Prevailing Wage,0,0,66,332
66889,CONFIDENTIAL,----,----,Brooklyn,42,,,No,Non Prevailing Wage,0,0,4,4
65541,TANYA TOWERS,620,EAST 13 STREET,Manhattan,2,40.72814169,-73.97770632,No,Non Prevailing Wage,0,0,137,138
66848,CONFIDENTIAL,----,----,Queens,30,,,No,Non Prevailing Wage,0,0,1,1
65357,MOUNT HOPE PRESERVATION APARTMENTS LLC.YR15.FY18,1985,CRESTON AVENUE,Bronx,14,40.85111669,-73.90665899,No,Non Prevailing Wage,0,15,40,40
65357,MOUNT HOPE PRESERVATION APARTMENTS LLC.YR15.FY18,1995,CRESTON AVENUE,Bronx,14,40.85134708,-73.90644902,No,Non Prevailing Wage,3,17,45,45
65357,MOUNT HOPE PRESERVATION APARTMENTS LLC.YR15.FY18,1789,DAVIDSON AVENUE,Bronx,14,40.84929618,-73.912687,No,Non Prevailing Wage,0,16,44,44
65357,MOUNT HOPE PRESERVATION APARTMENTS LLC.YR15.FY18,1800,DAVIDSON AVENUE,Bronx,14,40.84919145,-73.91210881,No,Non Prevailing Wage,0,23,62,62
65357,MOUNT HOPE PRESERVATION APARTMENTS LLC.YR15.FY18,1815,DAVIDSON AVENUE,Bronx,14,40.84978996,-73.91233212,No,Non Prevailing Wage,0,15,40,40
65357,MOUNT HOPE PRESERVATION APARTMENTS LLC.YR15.FY18,1821,DAVIDSON AVENUE,Bronx,14,40.84999015,-73.91210053,No,Non Prevailing Wage,2,15,40,40
65357,MOUNT HOPE PRESERVATION APARTMENTS LLC.YR15.FY18,1824,DAVIDSON AVENUE,Bronx,14,40.84987446,-73.91156572,No,Non Prevailing Wage,0,11,35,35
65357,MOUNT HOPE PRESERVATION APARTMENTS LLC.YR15.FY18,264,ECHO PLACE,Bronx,15,40.84928874,-73.90335425,No,Non Prevailing Wage,0,14,27,27
65357,MOUNT HOPE PRESERVATION APARTMENTS LLC.YR15.FY18,2474,MARION AVENUE,Bronx,15,40.86067598,-73.8933996,No,Non Prevailing Wage,0,17,24,24
66765,CONFIDENTIAL,----,----,Bronx,16,,,No,Non Prevailing Wage,0,0,1,1
65357,MOUNT HOPE PRESERVATION APARTMENTS LLC.YR15.FY18,2038,MORRIS AVENUE,Bronx,14,40.8526941,-73.9056808,No,Non Prevailing Wage,0,17,35,35
65357,MOUNT HOPE PRESERVATION APARTMENTS LLC.YR15.FY18,2042,MORRIS AVENUE,Bronx,14,40.85287511,-73.90551065,No,Non Prevailing Wage,0,18,26,26
65357,MOUNT HOPE PRESERVATION APARTMENTS LLC.YR15.FY18,1734,TOWNSEND AVENUE,Bronx,14,40.84704724,-73.91134177,No,Non Prevailing Wage,0,12,26,26
65357,MOUNT HOPE PRESERVATION APARTMENTS LLC.YR15.FY18,1735,TOWNSEND AVENUE,Bronx,14,40.84723157,-73.91190538,No,Non Prevailing Wage,0,36,53,53
55223,SYDNEY HOUSE,839-843,TILDEN STREET,Bronx,12,40.87719921,-73.86013061,No,Non Prevailing Wage,0,0,57,57
66846,CONFIDENTIAL,----,----,Queens,20,,,No,Non Prevailing Wage,0,0,1,1
67008,1992 THIRD AVENUE APARTMENTS,1992,3 AVENUE,Manhattan,8,40.79392143,-73.9433566,No,Non Prevailing Wage,0,0,5,15
64636,505  EAST 86TH STREET,505,EAST 86 STREET,Manhattan,5,,,No,Non Prevailing Wage,0,0,5,140
67006,16 CHARLES PLACE,16,CHARLES PLACE,Brooklyn,34,40.69799146,-73.93147226,No,Non Prevailing Wage,0,0,8,39
48768,URBAN HORIZONS HDFC.YR15.FY18,50,EAST 168 STREET,Bronx,16,40.8362608,-73.91917288,No,Non Prevailing Wage,4,121,132,132
67009,22 MELROSE STREET,22,MELROSE STREET,Brooklyn,34,40.69776859,-73.93528799,No,Non Prevailing Wage,0,0,3,8
67013,ST. LUCY'S APARTMENTS,315,EAST 103 STREET,Manhattan,8,40.78850287,-73.94243312,Yes,Non Prevailing Wage,0,0,49,50
67013,ST. LUCY'S APARTMENTS,330,EAST 104 STREET,Manhattan,8,40.78850287,-73.94243312,Yes,Non Prevailing Wage,0,0,50,50
66717,CONFIDENTIAL,----,----,Brooklyn,36,,,No,Non Prevailing Wage,0,0,3,3
62289,CAMBA. 210-214 HEGEMAN AVE,212,HEGEMAN AVENUE,Brooklyn,42,40.65654212,-73.90393623,No,Non Prevailing Wage,46,8,71,71
63939,NERVE LTU HOUSING DEVELOPMENT FUND COMPANY.HUDMF.FY18,15,EAST 111 STREET,Manhattan,9,40.79734606,-73.94749995,Yes,Non Prevailing Wage,108,19,135,135
63941,HP DUNWELL HOUSING DEVELOPMENT FUND COMPANY.HUDMF.FY18,1930,AMSTERDAM AVENUE,Manhattan,7,40.8320894,-73.94311091,No,Non Prevailing Wage,160,13,183,183
64756,BANANA KELLY HDFC.GHPP.FY18,936,KELLY STREET,Bronx,17,40.82042959,-73.89563548,No,Non Prevailing Wage,0,4,7,7
64756,BANANA KELLY HDFC.GHPP.FY18,940,KELLY STREET,Bronx,17,40.82053937,-73.89562446,No,Non Prevailing Wage,0,5,7,7
64756,BANANA KELLY HDFC.GHPP.FY18,944,KELLY STREET,Bronx,17,40.8206464,-73.89560262,No,Non Prevailing Wage,0,3,7,7
63014,1325 SOUTHERN BOULEVARD,1325,SOUTHERN BOULEVARD,Bronx,17,40.83134997,-73.89173014,No,Non Prevailing Wage,0,12,31,31
66763,CONFIDENTIAL,----,----,Brooklyn,44,,,No,Non Prevailing Wage,0,0,1,1
