the_geom,ID,AGENCY_NAM,PROGRAM_TY,AGENCY_TEL,CBO_SERVIC,SP_EIN,CBO_SP_TEL,SCHOOL_ID,SITE_NAME,SITE_BUILD,SITE_STREE,SITE_BOROU,SITE_ZIP,SETTING,ESTIMATED_,SUMMER,SCHOOL_YEA,WEEKENDS,EVENINGS,ELEMENTARY,MIDDLE_SCH,HIGH_SCHOO,WEEKLY_HOU,ENROLLMENT,ACADEMICS,SPORTS_PHY,ARTS_CULTU,NAME,ADDRESS1,ADDRESS2
POINT (-73.90275776491912 40.90373779101734),NYPL57,NYPL,Other,212-340-0903,,,718-549-1212,,Riverdale Branch,5540,Mosholu Avenue,Bronx,10471,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Riverdale Branch",5540 Mosholu Avenue,"Bronx, NY 10471"
POINT (-73.91756999396574 40.849505962670186),NYPL58,NYPL,Other,212-340-0903,,,718-731-2074,,Sedgwick Branch,1701,Martin Luther King Jr. Blvd.,Bronx,10453,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Sedgwick Branch",1701 Martin Luther King Jr. Blvd.,"Bronx, NY 10453"
POINT (-73.86289814549073 40.81872411282782),NYPL59,NYPL,Other,212-340-0903,,,718-589-0880,,Soundview Branch,660,Soundview Avenue,Bronx,10473,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Soundview Branch",660 Soundview Avenue,"Bronx, NY 10473"
POINT (-73.91463119891688 40.88624159222323),NYPL60,NYPL,Other,212-340-0903,,,718-796-1202,,Spuyten Duyvil Branch,650,West 235th Street,Bronx,10463,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Spuyten Duyvil Branch",650 West 235th Street,"Bronx, NY 10463"
POINT (-73.81911186664304 40.82288852359624),NYPL61,NYPL,Other,212-340-0903,,,718-792-2612,,Throg's Neck Branch,3025,Cross Bronx Exp. Ext.,Bronx,10465,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Throg's Neck Branch",3025 Cross Bronx Exp. Ext.,"Bronx, NY 10465"
POINT (-73.89834944128407 40.846043275958614),NYPL62,NYPL,Other,212-340-0903,,,718-299-5177,,Tremont Branch,1866,Washington Avenue,Bronx,10457,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Tremont Branch",1866 Washington Avenue,"Bronx, NY 10457"
POINT (-73.8939283537547 40.88275513556788),NYPL63,NYPL,Other,212-340-0903,,,718-543-5150,,Van Cortlandt Branch,3874,Sedgwick Avenue,Bronx,10463,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Van Cortlandt Branch",3874 Sedgwick Avenue,"Bronx, NY 10463"
POINT (-73.8641719936388 40.8548625198105),NYPL64,NYPL,Other,212-340-0903,,,718-829-5864,,Van Nest Branch,2147,Barnes Avenue,Bronx,10462,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Van Nest Branch",2147 Barnes Avenue,"Bronx, NY 10462"
POINT (-73.8595407140117 40.89111715924201),NYPL65,NYPL,Other,212-340-0903,,,718-652-4663,,Wakefield Branch,4100,Lowerre Place,Bronx,10466,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Wakefield Branch",4100 Lowerre Place,"Bronx, NY 10466"
POINT (-73.8830774582607 40.8447031127293),NYPL66,NYPL,Other,212-340-0903,,,718-367-5376,,West Farms Branch,2085,Honeywell Avenue,Bronx,10460,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, West Farms Branch",2085 Honeywell Avenue,"Bronx, NY 10460"
POINT (-73.84661775659899 40.84109468336568),NYPL67,NYPL,Other,212-340-0903,,,718-863-0436,,Westchester Square Branch,2521,Glebe Avenue,Bronx,10461,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Westchester Square Branch",2521 Glebe Avenue,"Bronx, NY 10461"
POINT (-73.86793859389624 40.900415084865486),NYPL68,NYPL,Other,212-340-0903,,,718-519-9627,,Woodlawn Heights Branch,4355,Katonah Avenue,Bronx,10470,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Woodlawn Heights Branch",4355 Katonah Avenue,"Bronx, NY 10470"
POINT (-73.90463510715843 40.82064083030256),NYPL69,NYPL,Other,212-340-0903,,,718-665-6255,,Woodstock Branch,761,East 160th Street,Bronx,10456,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Woodstock Branch",761 East 160th Street,"Bronx, NY 10456"
POINT (-74.10112452981912 40.59036117112894),NYPL70,NYPL,Other,212-340-0903,,,718-351-1444,,Dongan Hills Branch,1617,Richmond Road,Staten Island,10304,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Dongan Hills Branch",1617 Richmond Road,"Staten Island, NY 10304"
POINT (-74.15111491063386 40.552422452649225),NYPL71,NYPL,Other,212-340-0903,,,718-984-6670,,Great Kills Branch,56,Giffords Lane,Staten Island,10308,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Great Kills Branch",56 Giffords Lane,"Staten Island, NY 10308"
POINT (-74.19326854153486 40.534065036790395),NYPL72,NYPL,Other,212-340-0903,,,718-984-4636,,Huguenot Park Branch,830,Huguenot Avenue,Staten Island,10312,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Huguenot Park Branch",830 Huguenot Avenue,"Staten Island, NY 10312"
POINT (-74.11197800022713 40.57190876593257),NYPL73,NYPL,Other,212-340-0903,,,718-351-2977,,New Dorp Regional Branch,309,New Dorp Lane,Staten Island,10306,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, New Dorp Regional Branch",309 New Dorp Lane,"Staten Island, NY 10306"
POINT (-74.13114127573613 40.637568783264825),NYPL74,NYPL,Other,212-340-0903,,,718-442-0158,,Port Richmond Branch,75,Bennett Street,Staten Island,10302,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Port Richmond Branch",75 Bennett Street,"Staten Island, NY 10302"
POINT (-74.13854586344495 40.56653839807933),NYPL75,NYPL,Other,212-340-0903,,,718-668-0413,,Richmondtown Branch,200,Clarke Avenue,Staten Island,10306,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Richmondtown Branch",200 Clarke Avenue,"Staten Island, NY 10306"
POINT (-74.06298923713628 40.59581761839341),NYPL76,NYPL,Other,212-340-0903,,,718-816-5834,,South Beach Branch,21-25,Robin Road,Staten Island,10305,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, South Beach Branch",21-25 Robin Road,"Staten Island, NY 10305"
POINT (-74.07670362788204 40.64183123080351),NYPL77,NYPL,Other,212-340-0903,,,718-442-8560,,St. George Library Ctr.,5,Central Avenue,Staten Island,10301,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, St. George Library Center",5 Central Avenue,"Staten Island, NY 10301"
POINT (-74.07785651574233 40.62624279897019),NYPL78,NYPL,Other,212-340-0903,,,718-727-0427,,Stapleton Branch,132,Canal Street,Staten Island,10304,Library,0,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Full-time,0,yes,no,yes,"NYPL, Stapleton Branch",132 Canal Street,"Staten Island, NY 10304"
