"","GEOID","Adjusted.Grade","New.","Other.Location.Code.in.LCGMS","School.Name","SED.Code","Location.Code","District","Latitude","Longitude","Address..Full.","City","Zip","Grades","Grade.Low","Grade.High","Community.School.","Economic.Need.Index","School.Income.Estimate","Percent.ELL","Percent.Asian","Percent.Black","Percent.Hispanic","Percent.Black...Hispanic","Percent.White","Student.Attendance.Rate","Percent.of.Students.Chronically.Absent","Rigorous.Instruction..","Rigorous.Instruction.Rating","Collaborative.Teachers..","Collaborative.Teachers.Rating","Supportive.Environment..","Supportive.Environment.Rating","Effective.School.Leadership..","Effective.School.Leadership.Rating","Strong.Family.Community.Ties..","Strong.Family.Community.Ties.Rating","Trust..","Trust.Rating","Student.Achievement.Rating","Average.ELA.Proficiency","Average.Math.Proficiency","NumOfLibraries","NumOfAfterSchoolProgs","NumOfLowIncomeUnits","SchoolGEOID","MedianHldIncome","IncomeToPovertyRatio","ChildPoverty","CountofSNAPHlds","HealthCoverage"
"1","36005000400","","","","ARCHIMEDES ACADEMY FOR MATH, SCIENCE AND TECHNOLOGY APPLICATIONS",3.21e+11,"08X367",8,40.815017,-73.856018,"456 WHITE PLAINS RD BRONX, NY 10473","BRONX",10473,"06,07,08,09,10,11,12","6",12,"No","0.72","N/A",0.07,0.08,0.32,0.58,0.9,0.01,"0.93","0.24","0.81","Meeting Target","0.78","Approaching Target","0.8","Meeting Target","0.66","Not Meeting Target","0.71","Approaching Target","0.83","Approaching Target","Meeting Target","2.46","2.39",2,23,19,"360050004002003",76667,1530,1264,1926,5955
"2","36005000400","","","","THE BRONX MATHEMATICS PREPARATORY SCHOOL",3.21e+11,"08X375",8,40.815017,-73.856018,"456 WHITE PLAINS RD BRONX, NY 10473","BRONX",10473,"06,07,08","6",8,"Yes","0.82","N/A",0.17,0.02,0.33,0.63,0.97,0,"0.89","0.4","0.79","Not Meeting Target","0.75","Not Meeting Target","0.79","Approaching Target","0.65","Not Meeting Target","0.76","Approaching Target","0.81","Approaching Target","Approaching Target","2.17","2.01",2,23,19,"360050004002003",76667,1530,1264,1926,5955
"3","36005001600","","","","P.S. 182",3.21e+11,"08X182",8,40.818892,-73.856982,"601 STICKBALL BLVD BRONX, NY 10473","BRONX",10473,"PK,0K,01,02,03,04,05","PK",5,"No","0.73","45924.94",0.04,0.08,0.28,0.62,0.9,0.02,"0.92","0.32","0.85","Meeting Target","0.75","Meeting Target","0.82","Approaching Target","0.59","Not Meeting Target","0.8","Not Meeting Target","0.82","Approaching Target","Meeting Target","2.59","2.77",2,24,19,"360050016004002",31540,1475,1598,1970,5794
"4","36005001600","","","","ANTONIA PANTOJA PREPARATORY ACADEMY: A COLLEGE BOARD SCHOOL",3.21e+11,"08X376",8,40.821448,-73.855654,"1980 LAFAYETTE AVE BRONX, NY 10473","BRONX",10473,"06,07,08,09,10,11,12","6",12,"No","0.76","N/A",0.11,0.07,0.22,0.68,0.91,0.01,"0.9","0.32","0.84","N/A","0.71","N/A","0.74","Approaching Target","0.61","N/A","0.74","Approaching Target","0.85","Approaching Target","Meeting Target","2.33","2.15",3,25,20,"360050016004000",31540,1475,1598,1970,5794
"5","36005001600","","","","P.S. 069 JOURNEY PREP SCHOOL",3.21e+11,"08X069",8,40.816837,-73.860541,"560 THERIOT AVE BRONX, NY 10473","BRONX",10473,"PK,0K,01,02,03,04,05","PK",5,"No","0.75","47598.42",0.08,0.02,0.16,0.8,0.96,0.01,"0.93","0.22","0.94","Exceeding Target","0.86","Exceeding Target","0.92","Meeting Target","0.79","Meeting Target","0.81","Approaching Target","0.88","Meeting Target","Exceeding Target","2.72","3.02",2,25,20,"360050016002002",31540,1475,1598,1970,5794
"6","36005001900","","","","SOUTH BRONX CHARTER SCHOOL FOR INTERNATIONAL CULTURES AND THE ARTS",3.21e+11,"84X309",7,40.807564,-73.929369,"164 BRUCKNER BLVD BRONX, NY 10454","BRONX",10454,"0K,01,02,03,04,05","0K",5,"No","0.85","24842.22",0.34,0,0.16,0.82,0.98,0.01,"0.92","0.29","0.97","Exceeding Target","0.89","Meeting Target","0.97","Meeting Target","0.81","Meeting Target","0.85","Meeting Target","0.9","Meeting Target","Approaching Target","2.53","2.45",5,64,78,"360050019001021",39130,458,539,962,2575
"7","36005002000","","","","P.S. 107",3.21e+11,"08X107",8,40.818887,-73.868609,"1695 SEWARD AVE BRONX, NY 10473","BRONX",10473,"PK,0K,01,02,03,04,05","PK",5,"No","0.91","27853.77",0.09,0.01,0.32,0.64,0.96,0.03,"0.9","0.43","0.95","Meeting Target","0.93","Meeting Target","0.92","Meeting Target","0.84","Meeting Target","0.83","Approaching Target","0.92","Meeting Target","Meeting Target","2.21","2.24",2,27,32,"360050020003001",17083,2040,2509,3008,9117
"8","36005002300","","x","","SOUTH BRONX CLASSICAL CHARTER SCHOOL II",3.21e+11,"84X364",7,40.808255,-73.925748,"333 E 135TH ST BRONX, NY 10454","BRONX",10454,"0K,01,02,03,04,05","0K",5,"No","N/A","28552.64",0.06,0,0.45,0.52,0.97,0.02,"N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A","N/A",5,61,67,"360050023003001",16503,1196,1396,1960,4794
"9","36005002300","","","","P.S. 154 JONATHAN D. HYATT",3.21e+11,"07X154",7,40.808255,-73.925748,"333 E 135TH ST BRONX, NY 10454","BRONX",10454,"PK,0K,01,02,03,04,05","PK",5,"Yes","0.91","18984.33",0.1,0,0.4,0.57,0.97,0.01,"0.93","0.25","0.93","Meeting Target","0.95","Meeting Target","0.92","Exceeding Target","0.91","Exceeding Target","0.84","Meeting Target","0.96","Exceeding Target","Meeting Target","2.29","2.33",5,61,67,"360050023003001",16503,1196,1396,1960,4794
"10","36005002500","","","","P.S. 043 JONAS BRONCK",3.21e+11,"07X043",7,40.806419,-73.921424,"165 BROWN PL BRONX, NY 10454","BRONX",10454,"PK,0K,01,02,03,04,05","PK",5,"No","0.91","20902.4",0.09,0,0.27,0.71,0.98,0.01,"0.91","0.33","0.89","Approaching Target","0.95","Meeting Target","0.9","Meeting Target","0.84","Meeting Target","0.86","Meeting Target","0.96","Exceeding Target","Exceeding Target","2.29","2.46",2,49,45,"360050025005002",21060,1295,1760,1817,5637
"11","36005002500","","","","MOTT HAVEN ACADEMY CHARTER SCHOOL",3.21e+11,"84X394",7,40.806307,-73.920868,"170 BROWN PL BRONX, NY 10454","BRONX",10454,"0K,01,02,03,04,05,06,07,08","0K",8,"No","0.93","23312.54",0.14,0,0.29,0.69,0.98,0.01,"0.93","0.26","0.89","Meeting Target","0.9","Meeting Target","0.93","Exceeding Target","0.88","Meeting Target","0.89","Meeting Target","0.93","Meeting Target","Meeting Target","2.57","3.04",2,48,40,"360050025005001",21060,1295,1760,1817,5637
